Time,Q_benz (L/min),Q_sulphuric (L/min),T_feed_in(celsius),T_prod_out (celsius),Q_steam (L/min),T_steam_in (celsius),mas_frac Product
2024/07/07 15:00,57.4949257,72.59892594,30.71407066,70.90939407,130.8848442,86.28305592,0.543743704
2024/07/07 15:02,56.4339173,73.06550211,29.9863762,71.3329024,130.8646981,87.09882386,
2024/07/07 15:04,56.94544455,72.44945564,29.98781965,70.93898746,131.845551,84.05306877,
2024/07/07 15:06,57.54350458,73.88390277,29.15952891,70.40434508,128.9187829,85.62417753,
2024/07/07 15:08,57.92347095,73.97973774,29.88681471,71.25381795,132.380316,85.6461625,
2024/07/07 15:10,57.14504548,72.70740302,28.35279591,68.57342855,131.3866379,85.54625104,
2024/07/07 15:12,56.9133835,73.63869305,30.4578435,72.85721574,131.5349219,86.48857164,
2024/07/07 15:14,57.45647081,75.00020072,30.20636964,72.25106857,130.3135508,85.66529435,
2024/07/07 15:16,57.54034209,73.18870932,29.13469388,,129.1141787,84.60416573,
2024/07/07 15:18,58.17561971,74.25238407,31.17961263,,128.6861938,84.7199092,
2024/07/07 15:20,56.91210744,72.63118496,29.22074384,,128.2308128,86.14971186,
2024/07/07 15:22,25.014563,72.23763662,29.81874217,,128.1764158,84.40963604,
2024/07/07 15:24,57.12959424,72.75436318,30.1491509,,129.5103327,85.08483752,
2024/07/07 15:26,56.94889563,75.09996415,30.67779132,,130.5820005,85.90768106,
2024/07/07 15:28,58.02649403,74.4899765,30.17948185,,128.2577482,84.91679171,
2024/07/07 15:30,57.5488093,75.72287405,30.38351581,,126.3077008,86.1013414,
2024/07/07 15:32,57.90929635,120.2548,28.80496886,,130.6278115,84.35555053,
2024/07/07 15:34,25.22,72.37118778,29.72763768,,129.5636037,83.70832713,
2024/07/07 15:36,57.7125545,74.81334363,30.26468997,,129.0788475,84.57593772,
2024/07/07 15:38,57.49067335,74.26159081,29.08047069,,129.5636349,86.57413913,
2024/07/07 15:40,56.63653681,73.54888793,29.0736669,,132.8726577,86.50950395,
2024/07/07 15:42,57.75916255,73.42151205,30.36878018,,130.7671592,86.41139747,
2024/07/07 15:44,25.25,73.05505065,29.18244134,71.59318157,128.2152235,85.24646339,
2024/07/07 15:46,58.2663299,73.25864871,29.70212257,69.29135989,131.0829197,84.64115979,
2024/07/07 15:48,57.7402374,73.51598928,28.83602852,72.34270785,129.352898,84.25256401,
2024/07/07 15:50,57.622303,73.09521055,29.00132953,71.37446319,133.2076462,85.60495705,
2024/07/07 15:52,57.62671481,,29.82573162,71.17535054,132.0396642,84.72638443,
2024/07/07 15:54,57.46484219,,29.87800913,72.79517023,128.9425058,84.90882213,
2024/07/07 15:56,57.41953364,,29.11648967,69.50162238,124.6681997,85.62628689,
2024/07/07 15:58,57.39201558,,30.51151017,72.60116659,135.3014205,84.41801267,
2024/07/07 16:00,56.9829676,74.66555072,29.18106544,72.14206548,126.7436482,86.53432191,
2024/07/07 16:02,25.55,74.71270767,29.93415395,72.45829742,133.9125502,85.79361392,
2024/07/07 16:04,56.93781917,73.91540903,29.15366677,71.32370113,128.5169454,84.39953411,
2024/07/07 16:06,56.88327833,72.41415292,29.09533195,70.37412582,133.1176989,85.02213413,
2024/07/07 16:08,58.09759521,73.32034853,30.00890186,71.69019616,128.3754562,84.44804202,
2024/07/07 16:10,56.99019512,74.67481172,29.46523872,69.90174312,124.8624981,83.68504712,
2024/07/07 16:12,57.94937198,73.90139067,29.67754536,72.67249725,128.6293448,83.92437058,
2024/07/07 16:14,57.94466581,74.50891342,30.89729499,72.5703502,132.0822195,84.34890661,
2024/07/07 16:16,57.6233963,71.70790068,29.35651549,70.90226743,129.7458526,86.2578722,
2024/07/07 16:18,57.78165016,74.39627976,30.28171686,72.72855263,132.0614076,86.38387355,
2024/07/07 16:20,56.61227742,73.21891503,29.85635565,70.25617916,133.6088664,83.24395267,
2024/07/07 16:22,57.72525842,74.17143564,30.81003488,71.43812774,131.0480749,85.6590989,
2024/07/07 16:24,57.11617791,74.91431998,31.54829322,70.43556504,127.6818734,83.45899415,
2024/07/07 16:26,57.08208359,74.76185188,29.61764027,71.72907062,127.2928585,84.94431036,
2024/07/07 16:28,58.85324761,73.61305836,28.39954524,72.16891377,129.3904181,86.04748014,
2024/07/07 16:30,57.15843796,74.46931133,28.22615216,70.85408189,130.9195769,84.1872448,
2024/07/07 16:32,57.46825073,71.65772515,28.40214596,70.84765876,128.1667134,84.72608215,
